[10:10:44] === Baue Rust-Modul (maturin build --release) ===
🔗 Found pyo3 bindings
🐍 Found CPython 3.12 at /usr/bin/python3
    Finished `release` profile [optimized] target(s) in 0.03s
📦 Built wheel for CPython 3.12 to /home/sefo/devel/spinoza/target/wheels/spinoza-0.1.0-cp312-cp312-manylinux_2_34_x86_64.whl
Defaulting to user installation because normal site-packages is not writeable
Processing ./target/wheels/spinoza-0.1.0-cp312-cp312-linux_x86_64.whl
Installing collected packages: spinoza
  Attempting uninstall: spinoza
    Found existing installation: spinoza 0.1.0
    Uninstalling spinoza-0.1.0:
      Successfully uninstalled spinoza-0.1.0
Successfully installed spinoza-0.1.0
spinoza OK
[10:10:45] 
[10:10:45] === Stage 1: Kein Spin | 20M Steps | lr=3e-4→1e-5 (decay) | ent=0.01 ===
=== spinoza RL Training ===
  n_envs=64, difficulty=1
  total_timesteps=20000000
  policy=MLP [512, 512]

  lr=0.0003 → 1e-05 (linear decay)
  model params: 622,607

  step=  100032 | eps/s=  3091 | success=  0.0% | miss= 99.9% | elapsed= 32.4s
  step=  200064 | eps/s=  3132 | success=  0.0% | miss= 99.3% | elapsed= 63.9s
  step=  300096 | eps/s=  3148 | success=  0.1% | miss= 96.7% | elapsed= 95.3s
  step=  400128 | eps/s=  3174 | success=  0.1% | miss= 95.3% | elapsed=126.0s
  step=  500160 | eps/s=  3187 | success=  0.1% | miss= 94.9% | elapsed=157.0s
  step=  600192 | eps/s=  3198 | success=  0.1% | miss= 94.8% | elapsed=187.7s
  step=  700224 | eps/s=  3205 | success=  0.1% | miss= 94.4% | elapsed=218.5s
  step=  800256 | eps/s=  3208 | success=  0.1% | miss= 94.1% | elapsed=249.4s
  step=  900288 | eps/s=  3212 | success=  0.1% | miss= 94.0% | elapsed=280.3s
  step= 1000320 | eps/s=  3178 | success=  0.1% | miss= 93.6% | elapsed=314.7s
  step= 1100352 | eps/s=  3187 | success=  0.1% | miss= 93.1% | elapsed=345.3s
  step= 1200384 | eps/s=  3186 | success=  0.1% | miss= 92.8% | elapsed=376.8s
  step= 1300416 | eps/s=  3189 | success=  0.1% | miss= 92.1% | elapsed=407.7s
  step= 1400448 | eps/s=  3190 | success=  0.1% | miss= 91.8% | elapsed=439.1s
  step= 1500480 | eps/s=  3190 | success=  0.1% | miss= 91.5% | elapsed=470.3s
  step= 1600512 | eps/s=  3195 | success=  0.2% | miss= 91.1% | elapsed=501.0s
  step= 1700544 | eps/s=  3195 | success=  0.2% | miss= 90.5% | elapsed=532.2s
  step= 1800576 | eps/s=  3191 | success=  0.2% | miss= 90.6% | elapsed=564.2s
  step= 1900608 | eps/s=  3167 | success=  0.2% | miss= 89.9% | elapsed=600.2s
  step= 2000640 | eps/s=  3168 | success=  0.2% | miss= 89.3% | elapsed=631.4s
  step= 2100672 | eps/s=  3171 | success=  0.2% | miss= 89.2% | elapsed=662.5s
  step= 2200704 | eps/s=  3172 | success=  0.3% | miss= 88.6% | elapsed=693.8s
  step= 2300736 | eps/s=  3164 | success=  0.3% | miss= 88.2% | elapsed=727.1s
  step= 2400768 | eps/s=  3159 | success=  0.2% | miss= 87.8% | elapsed=760.1s
  step= 2500800 | eps/s=  3159 | success=  0.2% | miss= 87.4% | elapsed=791.6s
  step= 2600832 | eps/s=  3159 | success=  0.3% | miss= 86.8% | elapsed=823.4s
  step= 2700864 | eps/s=  3147 | success=  0.3% | miss= 86.3% | elapsed=858.2s
  step= 2800896 | eps/s=  3139 | success=  0.3% | miss= 85.9% | elapsed=892.2s
  step= 2900928 | eps/s=  3123 | success=  0.3% | miss= 85.4% | elapsed=928.9s
  step= 3000960 | eps/s=  3124 | success=  0.3% | miss= 84.8% | elapsed=960.5s
  step= 3100992 | eps/s=  3124 | success=  0.4% | miss= 84.3% | elapsed=992.7s
  step= 3201024 | eps/s=  3127 | success=  0.3% | miss= 84.0% | elapsed=1023.7s
  step= 3301056 | eps/s=  3128 | success=  0.4% | miss= 83.2% | elapsed=1055.4s
  step= 3401088 | eps/s=  3130 | success=  0.4% | miss= 82.7% | elapsed=1086.8s
  step= 3501120 | eps/s=  3129 | success=  0.4% | miss= 82.8% | elapsed=1118.9s
  step= 3601152 | eps/s=  3129 | success=  0.4% | miss= 82.3% | elapsed=1150.8s
  step= 3701184 | eps/s=  3130 | success=  0.4% | miss= 82.3% | elapsed=1182.4s
  step= 3801216 | eps/s=  3124 | success=  0.4% | miss= 81.8% | elapsed=1216.8s
  step= 3901248 | eps/s=  3126 | success=  0.5% | miss= 80.9% | elapsed=1248.1s
  step= 4001280 | eps/s=  3124 | success=  0.5% | miss= 80.3% | elapsed=1280.9s
  step= 4101312 | eps/s=  3125 | success=  0.5% | miss= 79.6% | elapsed=1312.4s
  step= 4201344 | eps/s=  3125 | success=  0.6% | miss= 79.0% | elapsed=1344.3s
  step= 4301376 | eps/s=  3125 | success=  0.6% | miss= 79.1% | elapsed=1376.5s
  step= 4401408 | eps/s=  3126 | success=  0.7% | miss= 78.7% | elapsed=1408.0s
  step= 4501440 | eps/s=  3126 | success=  0.8% | miss= 77.5% | elapsed=1439.9s
  step= 4601472 | eps/s=  3111 | success=  0.9% | miss= 77.0% | elapsed=1479.1s
  step= 4701504 | eps/s=  3110 | success=  1.0% | miss= 76.4% | elapsed=1511.7s
  step= 4801536 | eps/s=  3103 | success=  1.1% | miss= 75.9% | elapsed=1547.3s
  step= 4901568 | eps/s=  3104 | success=  1.3% | miss= 76.1% | elapsed=1579.0s
  step= 5001600 | eps/s=  3105 | success=  1.3% | miss= 75.2% | elapsed=1610.8s
  step= 5101632 | eps/s=  3104 | success=  1.4% | miss= 74.3% | elapsed=1643.4s
  step= 5201664 | eps/s=  3100 | success=  1.5% | miss= 74.3% | elapsed=1677.7s
  step= 5301696 | eps/s=  3100 | success=  1.7% | miss= 73.7% | elapsed=1710.5s
  step= 5401728 | eps/s=  3099 | success=  1.8% | miss= 73.5% | elapsed=1743.3s
  step= 5501760 | eps/s=  3099 | success=  2.0% | miss= 72.8% | elapsed=1775.3s
  step= 5601792 | eps/s=  3099 | success=  1.8% | miss= 74.0% | elapsed=1807.8s
  step= 5701824 | eps/s=  3056 | success=  2.4% | miss= 71.5% | elapsed=1865.9s
  step= 5801856 | eps/s=  3041 | success=  2.5% | miss= 71.0% | elapsed=1907.7s
  step= 5901888 | eps/s=  3033 | success=  2.4% | miss= 70.5% | elapsed=1945.9s
  step= 6001920 | eps/s=  3025 | success=  2.5% | miss= 69.9% | elapsed=1983.9s
  step= 6101952 | eps/s=  3003 | success=  2.5% | miss= 69.4% | elapsed=2031.9s
  step= 6201984 | eps/s=  2985 | success=  2.9% | miss= 68.7% | elapsed=2077.8s
  step= 6302016 | eps/s=  2980 | success=  3.2% | miss= 68.3% | elapsed=2114.7s
  step= 6402048 | eps/s=  2969 | success=  3.2% | miss= 67.6% | elapsed=2156.6s
  step= 6502080 | eps/s=  2964 | success=  3.3% | miss= 66.9% | elapsed=2193.8s
  step= 6602112 | eps/s=  2944 | success=  3.4% | miss= 66.5% | elapsed=2242.8s
  step= 6702144 | eps/s=  2928 | success=  3.4% | miss= 67.1% | elapsed=2289.0s
