[12:13:25] === Stage 2 von ckpt_9000000 | 20M Steps | lr=1e-5 | 512x512 ===
=== spinoza RL Training ===
  n_envs=64, difficulty=2
  total_timesteps=20000000
  policy=MLP [512, 512]

  lr=1e-05
  Loading pretrained model: models/ppo_stage1_checkpoints/ckpt_9000000_steps
  model params: 622,607

  step= 6602112 | eps/s=  3638 | success= 12.0% | miss= 22.4% | elapsed=1814.7s
  step= 6702144 | eps/s=  3622 | success= 54.8% | miss= 25.1% | elapsed=1850.2s
  step= 6802176 | eps/s=  3618 | success= 71.6% | miss= 14.6% | elapsed=1880.2s
  step= 6902208 | eps/s=  3615 | success= 78.9% | miss=  9.6% | elapsed=1909.3s
  step= 7002240 | eps/s=  3612 | success= 74.0% | miss= 14.0% | elapsed=1938.5s
  step= 7102272 | eps/s=  3612 | success= 72.5% | miss= 20.4% | elapsed=1966.3s
  step= 7202304 | eps/s=  3614 | success= 31.6% | miss= 50.0% | elapsed=1992.7s
  step= 7302336 | eps/s=  3616 | success=  0.2% | miss= 59.0% | elapsed=2019.6s
  step= 7402368 | eps/s=  3615 | success=  2.2% | miss= 52.4% | elapsed=2047.5s
  step= 7502400 | eps/s=  3616 | success=  8.1% | miss= 41.4% | elapsed=2074.9s
  step= 7602432 | eps/s=  3612 | success= 14.4% | miss= 41.4% | elapsed=2104.7s
  step= 7702464 | eps/s=  3608 | success=  7.0% | miss= 79.4% | elapsed=2134.6s
  step= 7802496 | eps/s=  3606 | success= 10.4% | miss= 56.0% | elapsed=2163.6s
  step= 7902528 | eps/s=  3606 | success= 20.7% | miss= 47.9% | elapsed=2191.7s
  step= 8002560 | eps/s=  3604 | success= 43.3% | miss= 40.0% | elapsed=2220.2s
  step= 8102592 | eps/s=  3603 | success= 37.3% | miss= 43.7% | elapsed=2249.0s
  step= 8202624 | eps/s=  3600 | success= 56.0% | miss= 20.8% | elapsed=2278.2s
  step= 8302656 | eps/s=  3599 | success= 62.1% | miss= 16.7% | elapsed=2307.1s
  step= 8402688 | eps/s=  3597 | success= 68.7% | miss= 15.1% | elapsed=2335.7s
  step= 8502720 | eps/s=  3596 | success= 67.8% | miss= 13.9% | elapsed=2364.5s
  step= 8602752 | eps/s=  3591 | success= 80.0% | miss=  8.9% | elapsed=2395.7s
