[20:50:14] === Baue Rust-Modul (maturin build --release) ===
🔗 Found pyo3 bindings
🐍 Found CPython 3.12 at /usr/bin/python3
    Finished `release` profile [optimized] target(s) in 0.03s
📦 Built wheel for CPython 3.12 to /home/sefo/devel/spinoza/target/wheels/spinoza-0.1.0-cp312-cp312-manylinux_2_34_x86_64.whl
Defaulting to user installation because normal site-packages is not writeable
Processing ./target/wheels/spinoza-0.1.0-cp312-cp312-linux_x86_64.whl
Installing collected packages: spinoza
  Attempting uninstall: spinoza
    Found existing installation: spinoza 0.1.0
    Uninstalling spinoza-0.1.0:
      Successfully uninstalled spinoza-0.1.0
Successfully installed spinoza-0.1.0
spinoza OK
[20:50:16] 
[20:50:16] === Stage 1: Kein Spin | 20M Steps | lr=3e-4→1e-5 (decay) | ent=0.01 ===
=== spinoza RL Training ===
  n_envs=64, difficulty=1
  total_timesteps=20000000
  policy=MLP [512, 512]

  lr=0.0003 → 1e-05 (linear decay)
  model params: 622,607

  step=  100032 | eps/s=  4402 | success=  0.0% | miss= 99.9% | elapsed= 22.7s
  step=  200064 | eps/s=  4384 | success=  0.0% | miss= 99.5% | elapsed= 45.6s
  step=  300096 | eps/s=  4316 | success=  0.1% | miss= 97.7% | elapsed= 69.5s
  step=  400128 | eps/s=  4300 | success=  0.1% | miss= 96.5% | elapsed= 93.0s
  step=  500160 | eps/s=  4293 | success=  0.1% | miss= 96.3% | elapsed=116.5s
  step=  600192 | eps/s=  4279 | success=  0.1% | miss= 96.2% | elapsed=140.3s
  step=  700224 | eps/s=  4272 | success=  0.1% | miss= 96.0% | elapsed=163.9s
  step=  800256 | eps/s=  4271 | success=  0.1% | miss= 95.9% | elapsed=187.4s
  step=  900288 | eps/s=  4264 | success=  0.1% | miss= 95.6% | elapsed=211.1s
  step= 1000320 | eps/s=  4227 | success=  0.1% | miss= 95.6% | elapsed=236.7s
  step= 1100352 | eps/s=  4227 | success=  0.1% | miss= 95.4% | elapsed=260.3s
  step= 1200384 | eps/s=  4227 | success=  0.1% | miss= 95.2% | elapsed=284.0s
  step= 1300416 | eps/s=  4231 | success=  0.1% | miss= 94.8% | elapsed=307.3s
  step= 1400448 | eps/s=  4230 | success=  0.1% | miss= 94.4% | elapsed=331.1s
  step= 1500480 | eps/s=  4231 | success=  0.1% | miss= 94.5% | elapsed=354.6s
  step= 1600512 | eps/s=  4232 | success=  0.2% | miss= 94.2% | elapsed=378.2s
  step= 1700544 | eps/s=  4230 | success=  0.2% | miss= 93.7% | elapsed=402.0s
  step= 1800576 | eps/s=  4230 | success=  0.2% | miss= 93.6% | elapsed=425.7s
  step= 1900608 | eps/s=  4211 | success=  0.2% | miss= 93.2% | elapsed=451.4s
  step= 2000640 | eps/s=  4222 | success=  0.2% | miss= 93.2% | elapsed=473.8s
  step= 2100672 | eps/s=  4228 | success=  0.3% | miss= 92.9% | elapsed=496.8s
  step= 2200704 | eps/s=  4233 | success=  0.3% | miss= 92.7% | elapsed=519.9s
  step= 2300736 | eps/s=  4236 | success=  0.3% | miss= 92.6% | elapsed=543.1s
  step= 2400768 | eps/s=  4238 | success=  0.3% | miss= 92.4% | elapsed=566.5s
