[15:04:11] === Stage 2 | flache Bahn Reward | lr=1e-5 | n_epochs=5 | target_kl=0.01 ===
=== spinoza RL Training ===
  n_envs=64, difficulty=2
  total_timesteps=20000000
  policy=MLP [512, 512]

  lr=1e-05
  Loading pretrained model: models/ppo_stage1_checkpoints/ckpt_9000000_steps
  model params: 622,607

  step= 6602112 | eps/s=  7118 | success= 25.1% | miss= 59.7% | elapsed=927.5s
  step= 6702144 | eps/s=  7127 | success= 22.7% | miss= 60.2% | elapsed=940.3s
  step= 6802176 | eps/s=  7137 | success= 24.6% | miss= 59.0% | elapsed=953.1s
  step= 6902208 | eps/s=  7145 | success= 24.3% | miss= 59.3% | elapsed=966.1s
  step= 7002240 | eps/s=  7154 | success= 24.2% | miss= 61.3% | elapsed=978.8s
  step= 7102272 | eps/s=  7164 | success= 21.1% | miss= 61.9% | elapsed=991.4s
  step= 7202304 | eps/s=  7174 | success= 22.9% | miss= 62.6% | elapsed=1003.9s
  step= 7302336 | eps/s=  7183 | success= 24.3% | miss= 61.2% | elapsed=1016.7s
  step= 7402368 | eps/s=  7188 | success= 25.2% | miss= 58.9% | elapsed=1029.8s
  step= 7502400 | eps/s=  7193 | success= 22.9% | miss= 62.3% | elapsed=1042.9s
  step= 7602432 | eps/s=  7199 | success= 20.4% | miss= 61.1% | elapsed=1056.0s
  step= 7702464 | eps/s=  7207 | success= 24.9% | miss= 61.5% | elapsed=1068.8s
  step= 7802496 | eps/s=  7214 | success= 23.5% | miss= 61.3% | elapsed=1081.6s
  step= 7902528 | eps/s=  7219 | success= 23.7% | miss= 60.9% | elapsed=1094.7s
  step= 8002560 | eps/s=  7226 | success= 25.7% | miss= 60.7% | elapsed=1107.5s
  step= 8102592 | eps/s=  7232 | success= 24.6% | miss= 60.5% | elapsed=1120.3s
  step= 8202624 | eps/s=  7237 | success= 25.1% | miss= 60.6% | elapsed=1133.5s
  step= 8302656 | eps/s=  7239 | success= 25.5% | miss= 60.3% | elapsed=1147.0s
  step= 8402688 | eps/s=  7240 | success= 25.0% | miss= 60.5% | elapsed=1160.5s
  step= 8502720 | eps/s=  7242 | success= 25.6% | miss= 60.0% | elapsed=1174.0s
  step= 8602752 | eps/s=  7245 | success= 26.0% | miss= 60.2% | elapsed=1187.4s
  step= 8702784 | eps/s=  7250 | success= 25.2% | miss= 60.2% | elapsed=1200.4s
  step= 8802816 | eps/s=  7256 | success= 25.8% | miss= 60.2% | elapsed=1213.2s
  step= 8902848 | eps/s=  7262 | success= 25.1% | miss= 60.3% | elapsed=1226.0s
  step= 9002880 | eps/s=  7268 | success= 25.4% | miss= 60.3% | elapsed=1238.7s
  step= 9102912 | eps/s=  7274 | success= 26.1% | miss= 60.0% | elapsed=1251.4s
  step= 9202944 | eps/s=  7280 | success= 26.4% | miss= 59.6% | elapsed=1264.1s
  step= 9302976 | eps/s=  7285 | success= 24.7% | miss= 60.1% | elapsed=1277.0s
  step= 9403008 | eps/s=  7291 | success= 26.8% | miss= 59.4% | elapsed=1289.7s
  step= 9503040 | eps/s=  7295 | success= 25.1% | miss= 60.0% | elapsed=1302.6s
  step= 9603072 | eps/s=  7296 | success= 27.1% | miss= 58.9% | elapsed=1316.2s
  step= 9703104 | eps/s=  7294 | success= 27.0% | miss= 57.7% | elapsed=1330.2s
  step= 9803136 | eps/s=  7295 | success= 27.6% | miss= 57.3% | elapsed=1343.8s
  step= 9903168 | eps/s=  7292 | success= 27.6% | miss= 57.8% | elapsed=1358.1s
  step=10003200 | eps/s=  7294 | success= 26.8% | miss= 59.5% | elapsed=1371.5s
  step=10103232 | eps/s=  7292 | success= 27.0% | miss= 59.2% | elapsed=1385.4s
  step=10203264 | eps/s=  7295 | success= 25.0% | miss= 59.4% | elapsed=1398.7s
  step=10303296 | eps/s=  7298 | success= 27.7% | miss= 57.9% | elapsed=1411.8s
  step=10403328 | eps/s=  7300 | success= 27.0% | miss= 59.1% | elapsed=1425.1s
  step=10503360 | eps/s=  7299 | success= 28.0% | miss= 57.2% | elapsed=1439.1s
  step=10603392 | eps/s=  7300 | success= 27.6% | miss= 58.3% | elapsed=1452.5s
  step=10703424 | eps/s=  7302 | success= 26.5% | miss= 59.4% | elapsed=1465.8s
  step=10803456 | eps/s=  7305 | success= 28.5% | miss= 57.7% | elapsed=1478.9s
  step=10903488 | eps/s=  7305 | success= 28.7% | miss= 57.0% | elapsed=1492.5s
  step=11003520 | eps/s=  7308 | success= 28.3% | miss= 57.0% | elapsed=1505.7s
  step=11103552 | eps/s=  7310 | success= 27.4% | miss= 59.3% | elapsed=1519.0s
  step=11203584 | eps/s=  7312 | success= 27.1% | miss= 58.5% | elapsed=1532.2s
  step=11303616 | eps/s=  7314 | success= 27.2% | miss= 59.7% | elapsed=1545.6s
