[17:49:55] === Baue Rust-Modul (maturin build --release) ===
🔗 Found pyo3 bindings
🐍 Found CPython 3.12 at /usr/bin/python3
    Finished `release` profile [optimized] target(s) in 0.03s
📦 Built wheel for CPython 3.12 to /home/sefo/devel/spinoza/target/wheels/spinoza-0.1.0-cp312-cp312-manylinux_2_34_x86_64.whl
Defaulting to user installation because normal site-packages is not writeable
Processing ./target/wheels/spinoza-0.1.0-cp312-cp312-manylinux_2_34_x86_64.whl
Installing collected packages: spinoza
  Attempting uninstall: spinoza
    Found existing installation: spinoza 0.1.0
    Uninstalling spinoza-0.1.0:
      Successfully uninstalled spinoza-0.1.0
Successfully installed spinoza-0.1.0
spinoza OK
[17:49:57] 
[17:49:57] === Stage 1: Kein Spin | 20M Steps | lr=3e-4→1e-5 (decay) | ent=0.01 ===
=== spinoza RL Training ===
  n_envs=64, difficulty=1
  total_timesteps=20000000
  policy=MLP [512, 512]

  lr=0.0003 → 1e-05 (linear decay)
  model params: 622,607

  step= 5901888 | eps/s=  4260 | success=  2.8% | miss= 84.8% | elapsed=1385.5s
  step= 6001920 | eps/s=  4260 | success=  3.0% | miss= 83.3% | elapsed=1409.1s
  step= 6101952 | eps/s=  4260 | success=  2.7% | miss= 83.4% | elapsed=1432.4s
  step= 6201984 | eps/s=  4260 | success=  2.7% | miss= 83.1% | elapsed=1455.8s
  step= 6302016 | eps/s=  4260 | success=  3.1% | miss= 83.1% | elapsed=1479.4s
  step= 6402048 | eps/s=  4260 | success=  3.4% | miss= 82.2% | elapsed=1502.7s
  step= 6502080 | eps/s=  4260 | success=  3.1% | miss= 82.5% | elapsed=1526.1s
  step= 6602112 | eps/s=  4261 | success=  2.6% | miss= 83.1% | elapsed=1549.3s
  step= 6702144 | eps/s=  4254 | success=  2.2% | miss= 83.2% | elapsed=1575.6s
  step= 6802176 | eps/s=  4254 | success=  2.0% | miss= 83.3% | elapsed=1599.0s
  step= 6902208 | eps/s=  4254 | success=  2.0% | miss= 83.5% | elapsed=1622.5s
  step= 7002240 | eps/s=  4255 | success=  2.5% | miss= 83.2% | elapsed=1645.6s
  step= 7102272 | eps/s=  4255 | success=  3.4% | miss= 82.0% | elapsed=1669.3s
  step= 7202304 | eps/s=  4256 | success=  4.0% | miss= 81.1% | elapsed=1692.4s
  step= 7302336 | eps/s=  4256 | success=  4.2% | miss= 80.5% | elapsed=1715.7s
  step= 7402368 | eps/s=  4256 | success=  4.6% | miss= 79.8% | elapsed=1739.3s
  step= 7502400 | eps/s=  4256 | success=  5.0% | miss= 79.8% | elapsed=1762.7s
