[13:34:43] === Stage 2 von ckpt_13000000 | lr=1e-5 | n_epochs=5 | target_kl=0.01 ===
=== spinoza RL Training ===
  n_envs=64, difficulty=2
  total_timesteps=20000000
  policy=MLP [512, 512]

  lr=1e-05
  Loading pretrained model: models/ppo_stage2_checkpoints/ckpt_13000000_steps
  model params: 622,607

  step= 6602112 | eps/s=  4733 | success= 83.0% | miss=  2.3% | elapsed=1395.0s
  step= 6702144 | eps/s=  4730 | success= 83.0% | miss=  2.3% | elapsed=1417.0s
  step= 6802176 | eps/s=  4732 | success= 82.9% | miss=  2.3% | elapsed=1437.6s
  step= 6902208 | eps/s=  4733 | success= 83.3% | miss=  2.2% | elapsed=1458.3s
  step= 7002240 | eps/s=  4735 | success= 82.9% | miss=  2.3% | elapsed=1479.0s
  step= 7102272 | eps/s=  4739 | success= 83.2% | miss=  2.3% | elapsed=1498.7s
  step= 7202304 | eps/s=  4741 | success= 83.4% | miss=  2.2% | elapsed=1519.3s
  step= 7302336 | eps/s=  4744 | success= 83.3% | miss=  2.2% | elapsed=1539.2s
  step= 7402368 | eps/s=  4745 | success= 83.1% | miss=  2.3% | elapsed=1560.0s
  step= 7502400 | eps/s=  4746 | success= 83.3% | miss=  2.2% | elapsed=1580.8s
  step= 7602432 | eps/s=  4744 | success= 83.6% | miss=  2.1% | elapsed=1602.5s
  step= 7702464 | eps/s=  4747 | success= 83.3% | miss=  2.2% | elapsed=1622.7s
  step= 7802496 | eps/s=  4747 | success= 83.3% | miss=  2.2% | elapsed=1643.6s
  step= 7902528 | eps/s=  4743 | success= 83.0% | miss=  2.2% | elapsed=1666.2s
  step= 8002560 | eps/s=  4728 | success= 83.3% | miss=  2.2% | elapsed=1692.7s
  step= 8102592 | eps/s=  4730 | success= 83.8% | miss=  2.1% | elapsed=1712.9s
  step= 8202624 | eps/s=  4721 | success= 83.4% | miss=  2.0% | elapsed=1737.5s
  step= 8302656 | eps/s=  4715 | success= 83.7% | miss=  2.2% | elapsed=1760.7s
  step= 8402688 | eps/s=  4715 | success= 83.4% | miss=  2.1% | elapsed=1782.3s
  step= 8502720 | eps/s=  4714 | success= 83.5% | miss=  2.1% | elapsed=1803.7s
  step= 8602752 | eps/s=  4710 | success= 83.6% | miss=  2.2% | elapsed=1826.6s
  step= 8702784 | eps/s=  4709 | success= 83.8% | miss=  2.1% | elapsed=1848.1s
  step= 8802816 | eps/s=  4709 | success= 83.7% | miss=  2.2% | elapsed=1869.2s
  step= 8902848 | eps/s=  4709 | success= 83.6% | miss=  2.1% | elapsed=1890.5s
  step= 9002880 | eps/s=  4711 | success= 83.4% | miss=  2.1% | elapsed=1911.2s
  step= 9102912 | eps/s=  4711 | success= 84.1% | miss=  2.1% | elapsed=1932.4s
  step= 9202944 | eps/s=  4714 | success= 83.7% | miss=  2.1% | elapsed=1952.2s
  step= 9302976 | eps/s=  4715 | success= 83.8% | miss=  2.0% | elapsed=1973.1s
  step= 9403008 | eps/s=  4716 | success= 84.1% | miss=  2.0% | elapsed=1993.8s
  step= 9503040 | eps/s=  4714 | success= 84.1% | miss=  1.9% | elapsed=2015.9s
  step= 9603072 | eps/s=  4715 | success= 83.8% | miss=  2.0% | elapsed=2036.6s
  step= 9703104 | eps/s=  4718 | success= 84.1% | miss=  2.1% | elapsed=2056.6s
  step= 9803136 | eps/s=  4721 | success= 84.1% | miss=  2.0% | elapsed=2076.4s
  step= 9903168 | eps/s=  4723 | success= 84.1% | miss=  1.9% | elapsed=2096.9s
  step=10003200 | eps/s=  4726 | success= 83.8% | miss=  2.1% | elapsed=2116.7s
  step=10103232 | eps/s=  4729 | success= 84.1% | miss=  2.1% | elapsed=2136.4s
  step=10203264 | eps/s=  4730 | success= 84.0% | miss=  2.0% | elapsed=2157.1s
  step=10303296 | eps/s=  4732 | success= 84.2% | miss=  2.0% | elapsed=2177.3s
